Serial;Number;ServiceDate;MJ;DeviceID;SoftwareVersion
123;MGG-100;01-01-1970;MJ;4720;
23-0001;MGG-100;01-01-1970;MJ;4719;
23-0002;MGG-100;01-01-1970;MJ;5114;
23-0003;MGG-100;01-01-1970;MJ;5956;Dummy_Release.hex
23-0004;MGG-100;01-01-1970;MJ;5957;Dummy_Release.hex
Test1;MSS-211;01-01-1970;MJ;6221;MSS211-Master-Ver1.72.hex
test2;MSS-221;01-01-1970;MJ;6221;MSS-221-Display.hex
23-0005;MGG-100;01-01-1970;MJ;8261;Dummy_Release.hex
23-0006;MGG-100;01-01-1970;MJ;8262;Dummy_Release.hex
20-0000;UVC-8120;01-01-1970;MJ;8284;
20-0001;UVC-8120;01-01-1970;MJ;8289;UVC-8120-V1.0.hex
20-0002;UVC-8120;01-01-1970;MJ;8290;UVC-8120-V1.0.hex
20-0003;UVC-8120;01-01-1970;MJ;8291;UVC-8120-V1.0.hex
20-0004;UVC-8120;01-01-1970;MJ;8292;UVC-8120-V1.0.hex
20-0005;UVC-8120;01-01-1970;MJ;8293;UVC-8120-V1.0.hex
20-0006;UVC-8120;01-01-1970;MJ;8294;UVC-8120-V1.0.hex
20-0007;UVC-8120;01-01-1970;MJ;8295;UVC-8120-V1.0.hex
20-0008;UVC-8120;01-01-1970;MJ;8296;UVC-8120-V1.0.hex
357976068449289;MGG-100;01-01-1970;MJ;8297;Dummy_Release.hex
23-0007;MGG-100;01-01-1970;MJ;9298;Dummy_Release.hex
23-0008;MGG-100;01-01-1970;MJ;9324;Dummy_Release.hex
20-0001;MMB-433-868;01-01-1970;MJ;10877;
20-0002;MMB-433-868;01-01-1970;MJ;11122;
20-0003;MMB-433-868;01-01-1970;MJ;11123;
20-0004;MMB-433-868;01-01-1970;MJ;11124;
23-0001;MMB-433-868;01-01-1970;MJ;11330;
23-0002;MMB-433-868;01-01-1970;MJ;11331;
23-0003;MMB-433-868;01-01-1970;MJ;11332;
23-0004;MMB-433-868;01-01-1970;MJ;11335;
23-0005;MMB-433-868;01-01-1970;MJ;11334;
23-0006;MMB-433-868;01-01-1970;MJ;11333;
RC-0009;MMB-433-868;01-01-1970;MJ;12006;
RC-0004;MMB-433-868;01-01-1970;MJ;12007;
RC-0018;MMB-433-868;01-01-1970;MJ;12008;
RC-0015;MMB-433-868;01-01-1970;MJ;12009;
RC-0016;MMB-433-868;01-01-1970;MJ;12010;
20-0100;MGG-100;01-01-1970;MJ;12199;Dummy_Release.hex
23-0001;MSS-211;01-01-1970;MJ;12399;MSS211-Master-Ver1.86.hex
23-0002;MSS-221;01-01-1970;MJ;12399;MSS-221-Ver1.2.hex
23-0003;MSS-211;01-01-1970;MJ;12400;MSS211-Master-Ver1.86.hex
23-0004;MSS-221;01-01-1970;MJ;12400;MSS-221-Ver1.2.hex
20-0071;MMB-433-868;01-01-1970;MJ;13132;
20-0072;MMB-433-868;01-01-1970;MJ;13133;
20-0073;MMB-433-868;01-01-1970;MJ;13134;
20-0074;MMB-433-868;01-01-1970;MJ;13135;
20-0075;MMB-433-868;01-01-1970;MJ;13136;
20-0070;MMB-433-868;01-01-1970;MJ;13137;
89462046041001264924;MGG-100;01-01-1970;MJ;13242;Dummy_Release.hex
78;MMB-433-868;01-01-1970;MJ;14349;
80;MMB-433-868;01-01-1970;MJ;14350;
79;MMB-433-868;01-01-1970;MJ;14351;
82;MMB-433-868;01-01-1970;MJ;14352;
77;MMB-433-868;01-01-1970;MJ;14353;
RC 0083;MMB-433-868;01-01-1970;MJ;14985;
RC 0081;MMB-433-868;01-01-1970;MJ;14986;
RC 0085;MMB-433-868;01-01-1970;MJ;14987;
0;W-400-0100-3;01-01-1970;MJ;15295;
93;MMB-433-868;01-01-1970;MJ;15472;
95;MMB-433-868;01-01-1970;MJ;15473;
84;MMB-433-868;01-01-1970;MJ;15474;
87;MMB-433-868;01-01-1970;MJ;15475;
98;MMB-433-868;01-01-1970;MJ;19076;
96;MMB-433-868;01-01-1970;MJ;19077;
97;MMB-433-868;01-01-1970;MJ;19078;
99;MMB-433-868;01-01-1970;MJ;19079;
94;MMB-433-868;01-01-1970;MJ;19128;
90;MMB-433-868;01-01-1970;MJ;19129;
88;MMB-433-868;01-01-1970;MJ;19130;
89;MMB-433-868;01-01-1970;MJ;19131;
23-0007;MMB-433-868;01-01-1970;MJ;19431;
23-0008;MMB-433-868;01-01-1970;MJ;19432;
23-0009;MMB-433-868;01-01-1970;MJ;19433;
23-0010;MMB-433-868;01-01-1970;MJ;19434;
23-0011;MMB-ESP32;01-01-1970;MJ;19437;
23-0012;MMB-433-868;01-01-1970;MJ;19437;
