Software version;W-350-0118-2
Software version;APB-613-00
Software version;W-231
Software version;MRT-006
Software version;MSS-100
Software version;W-575-0100-2
Software version;W-350-0100-2
Software version;W-350-575-0203-2
Software version;W-575-0125-2
Software version;SMR-006
Software version;APB-613-03
Software version;MOT-300
Software version;APB-613-01
Software version;W-350TH-0100-2
Software version;MSL-100
Software version;MSS-150
Software version;MHC-100
Software version;MSS-210
Software version;MSS-220
Software version;MWD-510
Software version;MWD-520
Software version;MTC-150
Software version;MWD-531
Software version;PSR-200
Software version;FRB-101
Software version;MMM-120
Software version;NIV-200
Software version;MSS-211
Software version;ISU-100-10
Software version;ISU-100-20
Software version;W-350XL-0100-2
Software version;AGV-200v1
Software version;APB-613-04
Software version;NIV-511
Software version;AGV-250
Software version;UVC-8000
Software version;MOU-311
Software version;U2F-210
Software version;FFR-310
Software version;ISU-100-30
Software version;LPC-100
Software version;APC-102
Software version;APB-613
Software version;W-1000-0100
Software version;W-785-0100
Software version;JRK-210
Software version;MAM-110
Software version;MAM-100
Software version;MSS-211 V2
Software version;W-600HD-0100-2
Software version;KFD-100
Software version;JET-110
Software version;PSI-050
Software version;NIV-200-GMV
Software version;Winlet-575-NIV
Software version;APB-613-IO
Software version;APB-613-05
Software version;HVL-100
Software version;MCA-100
Software version;W-350-0118-3
Software version;MSS-221
Software version;APB-6132
Software version;NIV-100
Software version;AHB-210
Software version;AHB-220
Software version;W-575-0125
Software version;W-230
Software version;GVL-100
Software version;W-LASIUS-0100-2
Software version;GVL-110
Software version;JET-BET-3
Software version;ATM-100
Software version;JET-110-2
Software version;UCD-100
Software version;ATM-101
Software version;FBR-APC-100
Software version;W-400-0100-3
Software version;MMBToolbox
Software version;UVC-821
Software version;SSM-100
Software version;PAD-100
Software version;SID-100
Software version;NCN-100
Software version;WIN-100-3
Software version;U2F-240
Software version;CAN-SNIF
Software version;NIV-200v2
Software version;BAT-124
Software version;NIV-512
Software version;PWM-100(6I5O)
Software version;WWR-100V4
Software version;WWR-200
Software version;APB-6134-W-8I8O
Software version;MTC-160
Software version;UVC-8110
Software version;6I5O-PSC-100
Software version;6I5O-BTG-100
Software version;PAD-200
Software version;MWD-640
Software version;MWD-630
Software version;ATM-110
Software version;MWD-610
Software version;MWD-631
Software version;MWD-620
Software version;GDL-110
Software version;SUPREMO
Software version;GDL-100
Software version;C2F-100
Software version;FLS-200
Software version;6I5O-NCN-101
Software version;MWD-720
Software version;MMB-433-868
Software version;SSM-300
Software version;JRK-221
Software version;SSM-101
Software version;PWM-300
Software version;MWD-1002
Software version;SL1000-FREI
Software version;W-V4-0100
Software version;FREI-TEMO200SL
Software version;SLS-300
Software version;CGM-100
Software version;GVL-120
Software version;MWD-611
Software version;JET-110-3
Software version;8I10O-BTG-100
Software version;FREI-TEMO200GMV
Software version;SSM-102
Software version;NCB-100
Software version;NCJ-100
Software version;MCC-110
Software version;SWC-100
Software version;APB-6134
Software version;SSM-103
Software version;MCC-100
Software version;APB-613-06
Software version;MGG-100
Software version;UVC-8120
Software version;ESP-32
deviceid;MGG-100
TelfNo;MGG-100
deviceid;UVC-8120
ID;UVC-8120
Radio_base_adresse;MMB-433-868
deviceid;MMB-433-868
SSID;MMB-ESP32
WiFi_kode;MMB-ESP32
deviceid;MMB-ESP32
